id,SalePrice
2658,127481.52959941886
2718,158407.5524346342
2414,188053.4878069773
1989,109498.924309371
625,183155.6782086167
333,107325.43618153442
1327,107190.39412984213
858,143548.5484542764
95,195217.22029583505
1568,170846.46994815354
2482,161936.2512634112
1364,128110.31402820033
2584,157481.77624533104
818,290396.95718079153
2673,159573.25283496775
2089,131691.25982834486
1297,155760.37483326218
790,118196.21272685306
2616,203418.2976501726
720,182541.84008737587
222,143590.3446991421
557,129899.16322033177
1148,203815.425772949
2766,167742.93687181943
534,178549.74027098098
1452,115108.70924287513
630,142392.15810548552
2648,122547.04142722128
125,149712.62979880138
1904,61703.66659758279
1670,108910.4160494279
756,105039.45153709746
717,242123.60156980425
1032,169825.6367207205
852,207416.32253372678
1731,164489.7252026973
2639,122248.85776649811
2071,91535.31616755042
1267,112336.16361205462
1851,197785.00370641277
567,157477.54054492258
2439,202715.55805176334
1898,157636.9434018749
647,166423.373094064
2256,238105.72065144224
979,124762.39047876338
1444,217238.31487483016
2485,128924.13435258853
157,124917.08063304189
88,123544.59016834867
2003,107048.98102206239
186,208542.48896481955
1425,243273.3691919726
2695,133133.14148475096
738,101537.78673913957
395,153228.02833464654
1353,153351.62637861373
1878,149250.63256172463
390,169591.06327727786
1456,237030.59703558608
1103,346350.2199815045
1387,131986.13794020633
2070,153537.95777038275
1199,163228.3279042241
2479,172775.6636413541
501,324092.001666265
2362,104096.63129110372
1718,196007.42164761145
2188,94868.43684467532
1483,155352.22379570897
2557,88733.56299927812
437,389411.03162163554
2224,191879.53734421398
1628,165544.00603600073
397,131164.54089513596
587,189929.59535468082
971,148748.64522176885
2611,150301.99966164504
1887,94617.09562572853
2399,360914.8603207835
2148,203375.7949694167
304,117643.28526452306
1997,137428.44064470349
2817,128488.45990372231
1431,180594.32681063074
427,381431.9257390916
263,120524.47134133353
598,162934.99242755354
2895,224160.09816967582
687,152092.94387379498
1822,135488.738715465
2191,116644.8450493458
179,119317.03111304033
1009,204872.7099019561
2010,129307.25175889255
1991,132534.3550398726
1411,162241.32934195478
1721,242760.13780825428
1144,186695.56473123262
593,202756.41442995684
575,300855.4856828014
1249,170460.50678156436
1604,131362.40450914353
1064,501122.2394338604
1923,169451.1856442995
1988,104316.3476698578
2325,169133.90185935577
114,192617.22657712182
2700,169850.34994463358
217,137580.8183284761
343,180367.92816702294
386,237360.90551380627
2005,119878.68215088872
2908,132990.1350249734
1814,235600.44836297308
2446,493555.0597187985
208,150392.28639711216
1679,116916.51039332135
822,323299.9425272179
6,186785.0407667096
1781,409803.17459893227
2397,283091.2377942968
2340,321470.67428456567
1618,156971.53659794378
2843,135394.66265349038
1061,388088.22550632764
2786,116571.47350857747
1935,136364.19382655201
1341,125139.20148742385
521,264871.79310384335
2136,134961.39242564476
996,193098.5009109652
227,151996.6384221401
135,173993.12377475243
1167,176906.73359021006
294,232957.21570542626
1776,200612.77279701515
540,168772.81696719525
1717,192750.18332642762
2303,123971.03001036297
116,194703.82868473633
127,133362.8773097826
1371,133878.16463695432
1014,169382.46099699984
1507,101923.7096042082
702,130507.40059225824
750,135610.39992644772
261,140342.64948660744
1559,78117.1226826795
577,203647.8203831482
2812,190109.90315823175
2080,156930.20078383115
1368,116151.06696353127
2376,128347.6644278739
659,104452.70727655494
1235,127994.57607087964
332,101807.55772568595
1917,141517.21165346884
2094,236452.03758945147
1460,258339.32383406343
1471,208109.97119267556
1509,128942.76248639505
1922,136582.66862846707
433,530436.5026556974
460,256663.10619768716
1116,239521.0747944988
1137,171913.08716231328
53,168384.67233756353
2354,266025.49247584475
1475,192485.11072935097
1761,629429.2732896244
842,143888.1936529968
2739,168740.3686598648
2509,158419.09314051014
1007,202964.37938613514
2610,178724.9081431737
1952,82754.38614067469
2719,162709.8420876709
2921,107501.99122659281
1966,137551.50889910487
292,127310.04668705261
1204,186855.23325583703
1829,238953.9796765378
2419,172773.46623707944
391,151048.32643291174
798,113379.99538502604
481,193347.9161830694
193,204171.52320007395
555,119623.27972590711
899,73331.66606335239
2357,171450.4801190004
328,138350.00306492063
1356,111599.89446874974
1154,112420.60331664272
1730,174358.14992249603
2249,151363.09179613082
1119,264939.5775273639
2856,141808.82880023317
1394,134614.46718370984
2587,121813.07025822517
61,322056.87610212143
2661,189678.47152478155
2711,125196.77659401431
1147,180619.99434908613
757,129627.11018793285
2623,93451.2731877376
2378,156138.4625228161
1413,135494.57335787182
1722,213431.7560197782
1112,218736.0232014457
1623,190180.6876834372
1201,181588.79876856747
1513,122155.70538672386
957,246121.33711941127
1171,295572.07910200284
1145,191468.9816323503
2726,226859.95346851065
703,155493.04969051387
760,98708.30679586179
1964,139831.18849292025
2512,184410.6692289385
159,160888.51973395393
1281,167993.01996064407
468,174325.79220742124
290,123744.10796317171
665,92500.77311665344
1463,260830.75013622746
1792,223141.59469065646
923,147957.52017787762
500,273068.1758931544
1408,180921.04026113934
331,91066.78136275316
170,127926.53013822922
2192,107729.11329962045
2571,315776.57478591695
2314,168697.56643066657
2647,89744.47212382201
422,481449.5091184957
2457,373580.81660481374
1838,207216.35803867754
2805,235674.26146556175
1645,155277.22908872188
1711,328353.85846929497
2825,245983.36772308423
322,342251.02641667426
2103,245677.5888750024
342,121766.46313727819
600,121612.14319436281
488,185692.3742505542
1725,316140.51602165523
2246,269162.64672043594
2847,182249.30202147414
806,241590.01485291572
530,235533.5199327309
963,200429.27134597226
2678,99773.21865327777
171,94327.66764543774
2401,455132.60427425156
805,217826.55844703325
2259,202967.02568895835
1748,171532.56569734335
1361,131889.44797887615
1677,126959.44116063116
1406,159623.93691107832
2322,216197.07085320418
688,145137.0585048283
143,142735.64211633857
804,205131.27526913577
1214,158765.95160679388
2828,152006.6313942537
1999,206362.02275649348
2467,190146.04597304488
2665,147650.0271574383
1538,328789.3499275214
398,119327.803542134
2822,137175.92131526882
2157,147049.03756131104
1856,178149.4250679852
1269,103481.54550925388
2570,123582.4881480298
2320,228628.29209500994
1517,113586.30141865327
2304,118979.48520367831
1312,99182.11029625371
2012,142049.55102749207
506,219875.87968340225
2865,170275.73403627734
2367,112051.76627011402
554,102033.19672782577
238,131097.41381407448
1954,110857.69655450307
2488,139532.62865853804
2291,111074.9516686268
1969,97674.41087356333
2725,170874.68402878675
1482,156039.9520698093
2763,178184.91703663807
503,258300.26337005277
